duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment=none,cost-of-living-adjustment=tcf,cost-of-living-adjustment=tc,working-hours,pension=none,pension=ret_allw,pension=empl_contr,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation=below_average,vacation=average,vacation=generous,longterm-disability-assistance,contribution-to-dental-plan=none,contribution-to-dental-plan=half,contribution-to-dental-plan=full,bereavement-assistance,contribution-to-health-plan=none,contribution-to-health-plan=half,contribution-to-health-plan=full,class
1,5,-1,-1,-1,-1,-1,40,-1,-1,-1,-1,2,-1,11,0,1,0,-1,-1,-1,-1,0,-1,-1,-1,good
2,4.5,5.8,-1,-1,-1,-1,35,0,1,0,-1,-1,0,11,1,0,0,-1,0,0,1,-1,0,0,1,good
-1,-1,-1,-1,-1,-1,-1,38,0,0,1,-1,5,-1,11,0,0,1,0,0,1,0,0,0,1,0,good
3,3.7,4,5,0,0,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,good
3,4.5,4.5,5,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,12,0,1,0,-1,0,1,0,0,0,1,0,good
2,2,2.5,-1,-1,-1,-1,35,-1,-1,-1,-1,6,0,12,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,good
3,4,5,5,0,0,1,-1,0,0,1,-1,-1,-1,12,0,0,1,0,1,0,0,0,0,1,0,good
3,6.9,4.8,2.3,-1,-1,-1,40,-1,-1,-1,-1,3,-1,12,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,good
2,3,7,-1,-1,-1,-1,38,-1,-1,-1,12,25,0,11,1,0,0,0,0,1,0,0,-1,-1,-1,good
1,5.7,-1,-1,1,0,0,40,0,0,1,-1,4,-1,11,0,0,1,0,0,0,1,-1,-1,-1,-1,good
3,3.5,4,4.6,1,0,0,36,-1,-1,-1,-1,3,-1,13,0,0,1,-1,-1,-1,-1,0,0,0,1,good
2,6.4,6.4,-1,-1,-1,-1,38,-1,-1,-1,-1,4,-1,15,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,good
2,3.5,4,-1,1,0,0,40,-1,-1,-1,-1,2,1,10,1,0,0,1,0,1,0,-1,0,1,0,bad
3,3.5,4,5.1,0,1,0,37,-1,-1,-1,-1,4,-1,13,0,0,1,-1,0,0,1,0,0,0,1,good
1,3,-1,-1,1,0,0,36,-1,-1,-1,-1,10,1,11,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,good
2,4.5,4,-1,1,0,0,37,0,0,1,-1,-1,-1,11,0,1,0,-1,0,0,1,0,-1,-1,-1,good
1,2.8,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,2,-1,12,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,good
1,2.1,-1,-1,0,0,1,40,0,1,0,2,3,1,9,1,0,0,0,0,1,0,-1,1,0,0,bad
1,2,-1,-1,1,0,0,38,1,0,0,-1,-1,0,11,0,1,0,1,1,0,0,1,1,0,0,bad
2,4,5,-1,0,1,0,35,-1,-1,-1,13,5,-1,15,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,good
2,4.3,4.4,-1,-1,-1,-1,38,-1,-1,-1,-1,4,-1,12,0,0,1,-1,0,0,1,-1,0,0,1,good
2,2.5,3,-1,-1,-1,-1,40,1,0,0,-1,-1,-1,11,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,bad
3,3.5,4,4.6,0,1,0,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,good
2,4.5,4,-1,-1,-1,-1,40,-1,-1,-1,-1,4,-1,10,0,0,1,-1,0,1,0,-1,0,0,1,good
1,6,-1,-1,-1,-1,-1,38,-1,-1,-1,8,3,-1,9,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,good
3,2,2,2,1,0,0,40,1,0,0,-1,-1,-1,10,1,0,0,-1,0,1,0,0,0,0,1,bad
2,4.5,4.5,-1,0,1,0,-1,-1,-1,-1,-1,-1,0,10,1,0,0,0,1,0,0,-1,0,1,0,good
2,3,3,-1,1,0,0,33,-1,-1,-1,-1,-1,0,12,0,0,1,-1,-1,-1,-1,0,0,0,1,good
2,5,4,-1,1,0,0,37,-1,-1,-1,-1,5,1,11,1,0,0,0,0,0,1,0,0,0,1,good
